id;cliente;sexo;nascimento;endereco;bairro;cidade;estado;email;telefone
3509;Haven Leon;f;15/06/1958;8172 Glenridge Ave.;Chikballapur;Maybeury;AY;sharon@yahoo.com;(202) 465-9844
3510;Allen Richmond;m;03/05/1989;604 Edgewater Lane;Kodagu;New Eucha;AR;dkrishna@yahoo.ca;
3511;Kaeden Moss;m;05/06/1949;9803 Livingston Dr.;Kalaburagi (Gulbarga);Maybeury;AY;fmerges@gmail.com;(747) 374-7987
3512;Leilani Gibbs;f;01/01/1941;7 Summer Ave.;Kalaburagi (Gulbarga);Avis;NR;kobayasi@mac.com;
3513;Albert Dyer;m;07/12/1972;314 South Leeton Ridge Ave.;Koppal;Black Springs;RO;stecoop@icloud.com;
3514;Miley Jennings;f;02/10/1992;30 King Court;Kodagu;New Eucha;TK;parents@icloud.com;
3515;Ella Beltran;f;20/05/1940;922 Indian Spring Street;Kolar;Maybeury;AY;harpes@icloud.com;(422) 365-3885
3516;Laci Abbott;f;26/01/1988;747 Kirkland Rd.;Kalaburagi (Gulbarga);Maybeury;AY;uncled@verizon.net;(450) 939-5383
3517;Yandel Bennett;m;28/08/1978;42 Carson Rd.;Chikkamagaluru (Chikmagalur);Black Springs;RO;crowl@aol.com;
3518;Cadence Manning;f;17/03/1977;7915 West Court;Chikkamagaluru (Chikmagalur);Lynchburg;NR;dogdude@aol.com;(436) 652-8290
3519;Kristina Ball;f;01/09/1949;238 North Brewery Street;Haveri;Avis;TK;amichalo@verizon.net;(751) 232-7831
3520;Maya Osborne;f;05/01/1985;51 Carson Street;Dharwad;Maybeury;TK;openldap@outlook.com;
3521;Oscar Arias;m;05/12/1994;5 Depot Lane;Udupi;Black Springs;RO;msherr@live.com;(200) 366-0494
3522;Kaydence Bauer;f;30/03/1955;566 Sherman Dr.;Kalaburagi (Gulbarga);Maybeury;TK;jrkorson@optonline.net;(716) 924-9931
3523;Evie Montgomery;f;04/11/1979;8646 S. Mayflower Lane;Kolar;Avis;NR;retoh@verizon.net;(749) 434-5025
3524;Noel Weeks;m;30/03/1994;8627 N. Lake View Street;Davangere;Lynchburg;RO;neuffer@me.com;(814) 721-3853
3525;Braylen Lamb;m;01/06/1984;378 SE. Middle River Lane;Dharwad;New Eucha;RO;symbolic@msn.com;
3526;Cassidy Valencia;f;18/09/1988;8 Second St.;Uttara Kannada (Karwar);Maybeury;AY;twoflower@outlook.com;(338) 782-9154
3527;Deven Lee;;15/09/1992;7468 Griffin Dr.;Kodagu;New Eucha;RO;keutzer@aol.com;(311) 394-7704
3528;Bo Dyer;m;26/03/2002;292 SE. Peninsula Drive;Hassan;Lynchburg;RO;rgiersig@verizon.net;
3529;Hayden David;f;05/06/1947;26 Poplar Street;Dharwad;Avis;TK;crypt@att.net;(411) 694-4677
3530;Dangelo Aguilar;m;07/06/1970;33 East Creek Street;Bengaluru (Bangalore) Rural;Black Springs;RO;augusto@verizon.net;
3531;Aleena Cooley;f;21/12/1993;8016 Helen St.;Dakshina Kannada;Maybeury;AY;sassen@comcast.net;(688) 404-8708
3532;Itzel Barrett;f;21/01/1960;8440 Johnson Court;Kodagu;Maybeury;AY;burniske@live.com;(698) 204-1041
3533;Marquis Bailey;m;28/01/1987;5 Middle River Ave.;Vijayapura (Bijapur);Black Springs;RO;dvdotnet@comcast.net;(646) 452-8591
3534;Athena Schneider;f;02/02/1995;68 Bohemia Dr.;Kodagu;Avis;NR;mstrout@sbcglobal.net;
3535;Yael Walker;m;07/08/1978;7338 Tarkiln Hill Drive;Chikballapur;Black Springs;RO;donev@hotmail.com;
3536;Quinn Berry;f;30/09/1979;292 Tarkiln Hill Street;Tumakuru (Tumkur);Avis;TK;wikinerd@icloud.com;
3537;Omar Farley;m;16/12/1986;9817 Glenwood Drive;Kolar;Maybeury;AY;andersbr@yahoo.ca;(309) 583-7164
3538;Raelynn Kirk;f;01/06/1969;28 Purple Finch St.;Chamarajanagar;Avis;TK;dgriffith@msn.com;(515) 431-5573
3539;Mckenna Zimmerman;f;11/10/1956;19 Cardinal St.;Kalaburagi (Gulbarga);New Eucha;TK;dimensio@icloud.com;
3540;Josh Walsh;m;12/07/1999;376 Amherst Drive;Kalaburagi (Gulbarga);Black Springs;RO;esokullu@comcast.net;(271) 885-1866
3541;Ryann Schultz;f;23/01/1996;53 Walnutwood Street;Chikballapur;Maybeury;TK;trygstad@yahoo.ca;
3542;Trinity Stewart;f;04/08/1976;680 E. Wall Ave.;Chitradurga;Maybeury;AY;horrocks@hotmail.com;
3543;Danielle Abbott;f;15/08/1941;26 South Squaw Creek Street;Haveri;Avis;TK;fmerges@verizon.net;
3544;Russell Chandler;m;11/02/1947;9691 Lyme Ave.;Chitradurga;Lynchburg;RO;mhouston@sbcglobal.net;(253) 298-3245
3545;Ashanti Bernard;f;31/03/1980;3 Charles Street;Ballari (Bellary);New Eucha;TK;bmidd@verizon.net;
3546;Giovanna Oliver;f;16/11/1978;6 Jockey Hollow Court;Bengaluru (Bangalore) Urban;Avis;NR;twoflower@att.net;(609) 549-1556
3547;Tristan Blake;m;22/02/1946;171 Fulton Drive;Dharwad;Lynchburg;RO;neuffer@yahoo.com;
3548;Jordan Crosby;m;03/02/1987;767 Garfield Dr.;Ballari (Bellary);New Eucha;RO;tubesteak@icloud.com;(803) 473-0875
3549;Elliott Ali;m;01/06/1977;8033 Edgemont Drive;Chikballapur;New Eucha;AR;pplinux@live.com;(765) 504-3602
3550;Peyton Kerr;f;28/12/1960;8304 Saxton Street;Gadag;Maybeury;AY;library@me.com;(323) 749-2969
3551;Lauryn Le;f;02/02/2000;90 John St.;Tumakuru (Tumkur);Avis;NR;conteb@optonline.net;(555) 881-1249
3552;Bruno Rowland;m;04/10/1991;7689 Warren Drive;Davangere;New Eucha;AR;tromey@comcast.net;(751) 486-1042
3553;Anne Bridges;f;08/07/1970;270 Highland Circle;Vijayapura (Bijapur);New Eucha;TK;imightb@yahoo.com;(819) 839-8649
3554;Miguel Avila;m;11/03/1942;41 Canterbury St.;Shivamogga (Shimoga);New Eucha;AR;kludge@yahoo.com;(456) 891-7409
3555;Abel Davenport;m;06/08/1949;9636 North Green Hill Street;Davangere;Maybeury;AY;mdielmann@verizon.net;(955) 849-7248
3556;Kash Vazquez;m;06/01/1948;8529 Harvey Dr.;Kalaburagi (Gulbarga);Lynchburg;RO;jelmer@sbcglobal.net;(455) 896-0609
3557;Xander Spencer;;27/10/1969;7771 W. Griffin Rd.;Udupi;Lynchburg;RO;ewaters@verizon.net;(948) 838-4225
3558;Miles Blackwell;m;14/12/2001;9200 Miller Street;Kalaburagi (Gulbarga);Lynchburg;RO;emcleod@aol.com;(490) 469-3457
3559;Lainey Knox;f;14/04/1956;8 Birchpond Rd.;Koppal;Maybeury;AY;pierce@comcast.net;(371) 375-9162
3560;Matias Conner;m;03/11/1947;658 Spring Court;Bengaluru (Bangalore) Rural;New Eucha;AR;andrewik@mac.com;
3561;Shamar Navarro;m;28/05/1989;8167 Bohemia Drive;Udupi;Lynchburg;RO;openldap@live.com;(674) 548-3806
3562;Kaeden Macias;m;17/08/1973;7712 Delaware Ave.;Kalaburagi (Gulbarga);Lynchburg;RO;violinhi@yahoo.ca;(934) 395-1168
3563;Roman Sanchez;m;04/02/1967;36 N. Lookout St.;Uttara Kannada (Karwar);New Eucha;RO;meinkej@outlook.com;
3564;Osvaldo Glass;m;09/04/1960;553 Buckingham Road;Hassan;Black Springs;RO;singer@yahoo.com;
3565;Ashlynn Holden;f;19/06/1993;9323 Canal St.;Davangere;;TK;bahwi@me.com;(471) 471-8607
3566;Colten Molina;m;27/09/1969;74 Lake Ave.;Dakshina Kannada;New Eucha;AR;dieman@hotmail.com;(839) 565-7940
3567;Case Rhodes;m;08/12/1971;7818 Hillside Ave.;Bagalkot;New Eucha;AR;ganter@live.com;(268) 529-7355
3568;Perla Burnett;f;20/09/1979;8042 Brook St.;Haveri;Lynchburg;NR;nasor@yahoo.ca;(465) 692-5575
3569;Pablo Gibbs;m;05/06/1974;6 Glenlake Lane;Bagalkot;New Eucha;AR;balchen@optonline.net;(352) 391-5374
3570;Skylar Carney;m;11/10/1976;58 Beach Drive;Kodagu;New Eucha;AR;janusfury@att.net;(644) 780-4652
3571;Aimee Kemp;f;23/06/1998;8373 Snake Hill Ave.;Uttara Kannada (Karwar);Maybeury;AY;jmgomez@outlook.com;(631) 350-9736
3572;Nehemiah Coffey;m;06/02/2000;8166 N. Studebaker Circle;Tumakuru (Tumkur);Lynchburg;RO;facet@icloud.com;(552) 846-1869
3573;Myah Yates;f;14/10/1995;160 Jackson Street;Uttara Kannada (Karwar);New Eucha;TK;szymansk@msn.com;
3574;Amina Vazquez;f;19/08/1956;741 Golf Ave.;Bengaluru (Bangalore) Urban;Maybeury;AY;henkp@sbcglobal.net;(901) 816-0652
3575;Riya Krueger;f;18/02/1971;500 Highland St.;Ballari (Bellary);Maybeury;TK;aaribaud@optonline.net;
3576;Reginald Richardson;m;10/12/1956;7585 Somerset Dr.;Kodagu;New Eucha;RO;dbrobins@msn.com;(595) 751-0454
3577;Marquise York;m;08/12/1979;8353 Columbia St.;Koppal;Black Springs;AR;ducasse@live.com;(299) 253-8878
3578;Lorena Erickson;f;02/08/1973;516 Tunnel St.;Mysuru (Mysore);Maybeury;TK;mleary@aol.com;
3579;Brooke Glenn;f;24/09/1946;76 W. Longbranch Dr.;Ramanagara;Maybeury;AY;aardo@comcast.net;(958) 311-3669
3580;Patrick Rose;m;26/04/1984;342 Edgewood St.;Kalaburagi (Gulbarga);Black Springs;RO;chaikin@yahoo.ca;
3581;Nicholas Shepard;m;13/09/1996;50 Hudson St.;Ballari (Bellary);Black Springs;RO;kannan@me.com;
3582;Marley Erickson;m;17/09/1972;267 E. Anderson Circle;Haveri;Lynchburg;RO;mavilar@optonline.net;(417) 505-5908
3583;Kendall Glenn;f;27/01/1949;643 NW. Hill Lane;Chikkamagaluru (Chikmagalur);Maybeury;;airship@optonline.net;
3584;Lilly Murillo;f;04/05/1957;9341 Summer St.;Koppal;Maybeury;AY;geeber@gmail.com;(692) 868-9445
3585;Laney Sharp;f;16/09/1943;745 Sherman Drive;Dharwad;Maybeury;AY;augusto@gmail.com;(283) 830-0123
3586;Camryn Henry;f;01/01/1978;7103 Miller Lane;Kolar;Avis;NR;satch@mac.com;
3587;Brynn Leon;f;27/04/1971;214 Old Poor House Dr.;Mysuru (Mysore);Avis;TK;ovprit@comcast.net;
3588;Stephany Villarreal;f;05/04/1942;7 Vale Ave.;Kodagu;Avis;NR;bhtower@optonline.net;
3589;Walter Munoz;m;27/06/1982;8062 Cedar Swamp Court;Ballari (Bellary);Lynchburg;RO;bonmots@live.com;(786) 521-8518
3590;Jazmyn Ingram;f;11/10/1949;7457 Ocean St.;Hassan;Maybeury;AY;neuffer@yahoo.ca;(373) 288-3969
3591;Teagan Bates;m;08/02/1953;692 Fifth St.;Uttara Kannada (Karwar);Black Springs;RO;pdbaby@optonline.net;
3592;Tyshawn Deleon;m;26/03/1942;8323 Victoria Dr.;Ballari (Bellary);Lynchburg;RO;matsn@me.com;(641) 411-6446
3593;Darwin Gonzalez;m;29/05/2002;645 Del Monte Ave.;Kodagu;Black Springs;RO;bescoto@verizon.net;
3594;Vance Preston;m;01/05/2001;8537 Walt Whitman Avenue;Mandya;Lynchburg;RO;starstuff@verizon.net;(452) 631-0647
3595;Sherlyn Buchanan;f;28/04/1982;10 Elmwood St.;Haveri;Avis;TK;nullchar@yahoo.com;
3596;Savanna Campbell;f;14/01/1949;344 Newport Lane;Ramanagara;Avis;TK;dowdy@live.com;
3597;Ian Shepherd;m;29/03/1945;651 Sleepy Hollow Ave.;Udupi;New Eucha;AR;scarolan@live.com;
3598;Aliyah Duke;f;27/01/1962;7590 SW. Winchester Lane;Haveri;Maybeury;AY;qmacro@yahoo.ca;(493) 286-6870
3599;London Tran;m;19/12/1950;331 Hartford Rd.;Bengaluru (Bangalore) Rural;New Eucha;RO;gator@optonline.net;
3600;Beatrice Terry;f;26/01/1953;31 East Cedarwood Drive;Shivamogga (Shimoga);Avis;TK;frode@optonline.net;
3601;Aracely Huerta;f;17/09/1982;123 Sunbeam Dr.;Bagalkot;Avis;TK;rgiersig@msn.com;
3602;Alyson Holder;f;22/09/1977;8 Smith Store Street;Bengaluru (Bangalore) Urban;Lynchburg;NR;ryanshaw@live.com;(547) 972-0767
3603;Marley Case;m;15/03/1956;2 W. Sheffield Ave.;Mandya;Lynchburg;RO;ducasse@att.net;
3604;Mina Wall;f;16/10/1976;39 Oklahoma Avenue;Bengaluru (Bangalore) Urban;Avis;TK;josem@icloud.com;(765) 386-2867
3605;Hana Bryan;f;29/09/1942;326 Taylor Avenue;Hassan;New Eucha;TK;eidac@sbcglobal.net;
3606;Seamus Erickson;m;27/09/1999;675 Bridle Avenue;Raichur;New Eucha;AR;jrifkin@optonline.net;
3607;Aydan Holloway;m;13/06/1956;9489 Jackson Ave.;Bagalkot;Lynchburg;RO;hakim@icloud.com;(917) 838-7335
3608;Hector Perkins;m;18/12/1980;8303 Middle River Drive;Chikkamagaluru (Chikmagalur);Avis;AR;zeitlin@att.net;(330) 866-4388
3609;Malik Dodson;m;03/12/1997;733 Pawnee Street;Vijayapura (Bijapur);New Eucha;AR;hahsler@att.net;
3610;Paxton Kramer;m;16/06/2002;9392 Livingston Dr.;Chikballapur;Lynchburg;RO;noahb@icloud.com;(434) 436-8006
3611;Shyann Schultz;f;16/05/1958;789 E. Wild Rose Lane;Bengaluru (Bangalore) Rural;Lynchburg;NR;aprakash@me.com;(385) 800-9398
3612;Hayley Hester;f;21/03/1958;9 Valley Ave.;Mysuru (Mysore);Maybeury;AY;hermes@optonline.net;(698) 498-2821
3613;Marcos James;m;30/10/1963;8633 Mountainview Ave.;Gadag;Lynchburg;RO;geekgrl@outlook.com;(711) 685-1616
3614;Kailee Santiago;f;06/05/1941;547 Galvin Ave.;Koppal;Avis;NR;danneng@live.com;
3615;Jerry Osborne;m;06/05/1978;8 Thompson St.;Shivamogga (Shimoga);New Eucha;AR;jcholewa@yahoo.ca;(867) 984-9946
3616;Dominik Coleman;m;24/08/1989;9644 West Third Street;Vijayapura (Bijapur);Lynchburg;RO;simone@yahoo.com;(970) 948-3207
3617;Jaydon Norris;m;13/05/1949;385 6th Drive;Mandya;New Eucha;RO;wkrebs@verizon.net;
3618;Azaria Norman;f;16/07/1987;7142 Galvin Drive;Dharwad;Maybeury;AY;lbaxter@msn.com;
3619;Joanna Braun;f;06/12/1997;14 Green Street;Ramanagara;Avis;TK;zilla@yahoo.com;
3620;Blaine Brooks;m;12/08/1958;693 Delaware Avenue;Vijayapura (Bijapur);Black Springs;RO;hyper@yahoo.ca;
3621;Haylee Donovan;f;27/05/1994;939 North Brewery Ave.;Udupi;Maybeury;AY;jsbach@hotmail.com;(944) 929-6790
3622;Zaniyah Espinoza;f;20/01/1993;728 Marshall Dr.;Udupi;Avis;NR;alfred@verizon.net;
3623;Arturo Baxter;m;30/04/1951;9311 Howard Dr.;Chamarajanagar;Lynchburg;RO;world@verizon.net;(515) 311-4832
3624;Derek Livingston;m;20/04/2002;32 Shady Street;Raichur;Black Springs;RO;facet@live.com;
3625;Diya Guerrero;f;15/08/1992;4 East Dunbar Drive;Mysuru (Mysore);Avis;TK;speeves@yahoo.ca;
3626;Emily Rogers;f;15/05/1998;7690 Manor Station Dr.;Chitradurga;Maybeury;AY;cliffordj@outlook.com;(967) 576-8823
3627;Daphne Dodson;f;03/10/2001;906 Pendergast Road;Chamarajanagar;Maybeury;AY;shazow@comcast.net;(752) 295-3801
3628;Reynaldo Walker;m;18/12/1977;9469 Peninsula Dr.;Uttara Kannada (Karwar);Lynchburg;RO;jacks@icloud.com;(792) 496-5271
3629;Rodrigo Wilkinson;m;12/12/1969;7065 Valley View Ave.;Yadgir;Black Springs;RO;sriha@msn.com;
3630;Shelby Henry;f;20/08/2000;436 Iroquois St.;Chitradurga;Maybeury;TK;techie@me.com;
3631;Kenzie Coleman;f;30/03/1971;532 West Cleveland Drive;Chikkamagaluru (Chikmagalur);Maybeury;TK;jfriedl@yahoo.com;
3632;Lena Santiago;f;24/09/1974;30 Arnold Street;Haveri;New Eucha;TK;curly@icloud.com;
3633;Celia Horn;f;07/03/2001;87 South Union Dr.;Dakshina Kannada;Avis;NR;harryh@yahoo.ca;(929) 542-7592
3634;Josephine Hodge;f;05/04/1978;42 Depot Ave.;Ballari (Bellary);Avis;TK;payned@me.com;
3635;Reilly Hinton;m;03/01/1977;9701 Lake View Street;Ramanagara;Maybeury;AY;chaki@yahoo.ca;(548) 909-6087
3636;Bryce Shannon;m;12/10/1998;7637 Thomas Lane;Udupi;New Eucha;RO;houle@sbcglobal.net;(711) 985-2028
3637;Demetrius Zhang;m;04/04/1956;7286 SE. Glen Creek Road;Ramanagara;Black Springs;RO;enintend@outlook.com;
3638;Londyn Francis;f;20/03/1993;9109 West Arcadia Dr.;Kodagu;Avis;TK;nachbaur@gmail.com;(718) 528-8036
3639;Aubrey Rhodes;f;27/03/1964;45 W. Hillcrest Street;Yadgir;Avis;NR;dvdotnet@sbcglobal.net;(853) 294-7654
3640;Deandre Skinner;m;09/11/1975;9158 Brickell Rd.;Bagalkot;Lynchburg;RO;matty@yahoo.ca;(275) 774-3766
3641;Mikayla Fernandez;f;28/01/1948;8 Illinois St.;Mysuru (Mysore);Maybeury;AY;sharon@yahoo.com;(373) 269-6517
3642;Isabella Vincent;f;09/05/1980;313 Johnson Dr.;Ballari (Bellary);New Eucha;TK;matthijs@me.com;
3643;Austin Hart;m;21/10/1989;7237 East Spruce Street;Raichur;New Eucha;AR;janneh@mac.com;
3644;Heidy Gordon;;13/04/1999;125 Tailwater St.;Chitradurga;Avis;TK;ateniese@hotmail.com;
3645;Isiah Rubio;m;08/04/1984;177 S. Glenlake St.;Ramanagara;Avis;AY;sriha@att.net;
3646;Fletcher Shannon;m;10/05/1989;540 Myers Street;Gadag;New Eucha;AR;jimxugle@yahoo.com;
3647;Lyric Perez;f;10/12/1940;7020 Fieldstone St.;Yadgir;Avis;NR;aegreene@msn.com;
3648;Antonio Grimes;m;02/04/1991;25 S. High Point St.;Haveri;Black Springs;AY;sisyphus@outlook.com;
3649;Rodolfo Blake;m;10/11/1991;71 Myers Drive;Kalaburagi (Gulbarga);New Eucha;AR;tokuhirom@gmail.com;
3650;Ean Whitehead;m;03/12/1943;303 Heritage Ave.;Dakshina Kannada;New Eucha;RO;dbanarse@outlook.com;
3651;Lesly Mejia;f;10/02/1969;1 Nichols Street;Chamarajanagar;Avis;TK;gbacon@verizon.net;
3652;Martin Baxter;m;15/12/1990;7246 Holly St.;Dakshina Kannada;Black Springs;RO;bockelboy@comcast.net;
3653;Jamir Byrd;m;26/07/1980;356 Westminster Lane;Vijayapura (Bijapur);Black Springs;RO;weidai@att.net;
3654;Aryan Marquez;m;29/04/1996;807 Coffee Ave.;Haveri;New Eucha;AR;openldap@yahoo.com;(808) 964-1832
3655;Ally Galloway;f;19/04/1995;9314 Maple Lane;Chikkamagaluru (Chikmagalur);;TK;marioph@aol.com;(959) 875-5197
3656;Alvin Lindsey;m;01/05/1958;7336 Pennsylvania Street;Yadgir;New Eucha;AR;duchamp@outlook.com;
3657;Alyssa Watson;f;24/02/1948;128 Lafayette St.;Bidar;Avis;TK;notaprguy@att.net;(630) 944-8319
3658;Dax Glover;m;08/09/1998;49 Tunnel Lane;Chamarajanagar;New Eucha;AR;alhajj@yahoo.ca;
3659;Kristian Rose;m;19/05/1978;455 East White St.;Ballari (Bellary);New Eucha;AR;attwood@att.net;
3660;Lauren Franklin;f;20/11/1956;562 S. Grand Ave.;Dharwad;Maybeury;TK;isaacson@comcast.net;
3661;Guadalupe Sullivan;f;22/10/1958;604 Lancaster Lane;Belagavi (Belgaum);Maybeury;TK;cliffski@msn.com;
3662;Vanessa Palmer;f;25/04/1989;7388 S. Honey Creek Court;Shivamogga (Shimoga);Maybeury;AY;podmaster@outlook.com;(486) 560-4631
3663;Billy Carter;m;02/12/1964;608 West Kirkland Road;Bidar;Black Springs;RO;klaudon@yahoo.com;
3664;Marco Case;m;08/01/1962;163 Bedford Street;Davangere;Maybeury;AY;noticias@optonline.net;
3665;Elsa Mcgee;f;21/06/2001;7109 Sunset Drive;Mysuru (Mysore);Avis;NR;avalon@comcast.net;
3666;Nola Bird;f;01/02/1991;7299 Indian Spring St.;Bengaluru (Bangalore) Rural;Maybeury;AY;cliffski@msn.com;
3667;Jessie Glass;m;26/11/1946;21 SE. Lower River Circle;Ballari (Bellary);Black Springs;AY;panolex@att.net;
3668;Lilian Walls;f;11/04/1998;345 Arrowhead St.;Shivamogga (Shimoga);Avis;TK;leakin@msn.com;
3669;Ayanna Hamilton;f;04/10/1966;9359 Acacia St.;Koppal;Avis;TK;steve@optonline.net;(532) 421-7697
3670;Alannah Giles;f;05/02/1950;8700 Wintergreen Street;Dharwad;Avis;NR;mfleming@optonline.net;(946) 450-7783
3671;Neveah Stein;f;12/07/1994;790 Pearl St.;Kolar;Maybeury;AY;gommix@outlook.com;(388) 871-8003
3672;Heidi Carlson;f;02/07/1947;18 Amerige St.;Gadag;New Eucha;TK;falcao@icloud.com;
3673;Ayana Parks;f;04/04/1957;112 Campfire Ave.;Udupi;Avis;TK;starstuff@icloud.com;
3674;Leon Strickland;m;24/02/1977;8060 Woodland St.;Gadag;New Eucha;AR;kiddailey@att.net;(864) 674-1513
3675;Clare Clements;f;05/01/1994;1 E. Airport St.;Bidar;Avis;TK;stefano@gmail.com;
3676;Taylor Jordan;m;08/03/2002;853 Arrowhead Lane;Kodagu;Lynchburg;RO;gastown@icloud.com;(697) 684-1094
3677;Caitlin Adams;f;24/05/1950;7790 Piper Drive;Tumakuru (Tumkur);Maybeury;AY;bryanw@gmail.com;(647) 631-0263
3678;Aisha Conley;;10/12/1950;12 New Street;Ballari (Bellary);Avis;TK;rfoley@gmail.com;
3679;Kathy Spears;f;17/04/1946;272 Nicolls Ave.;Bagalkot;New Eucha;TK;earmstro@aol.com;(805) 873-5613
3680;Nola Hood;f;25/02/1988;9159 San Juan Rd.;Yadgir;Maybeury;AY;chaikin@mac.com;(222) 944-1416
3681;Darrell Velazquez;m;29/12/1982;58 Sugar Drive;Dakshina Kannada;Black Springs;RO;salesgeek@att.net;
3682;Gretchen Lam;f;09/10/1953;21 Cooper Court;Kalaburagi (Gulbarga);Avis;TK;helger@verizon.net;
3683;Abdullah Mckenzie;m;01/07/1984;224 Silver Spear St.;Kalaburagi (Gulbarga);Black Springs;AY;tamas@yahoo.ca;(924) 752-6145
3684;Simeon Wells;m;22/10/1944;7253 Holly Drive;Dharwad;Black Springs;RO;starstuff@att.net;
3685;Lucas Castillo;m;01/06/1943;441 W. Highland Dr.;Yadgir;Black Springs;RO;marin@comcast.net;(359) 874-9381
3686;Tania Mccarthy;f;01/12/2001;9310 Howard Dr.;Davangere;Maybeury;AY;rcwil@verizon.net;(888) 464-0552
3687;Paloma Harmon;f;09/08/1989;329 Oak Lane;Kodagu;New Eucha;TK;rhialto@hotmail.com;
3688;Carleigh Brock;;03/11/1975;1 Proctor Court;Chikkamagaluru (Chikmagalur);Avis;TK;jmorris@live.com;
3689;Christine Giles;f;08/03/1969;64 Young Lane;Bengaluru (Bangalore) Rural;Maybeury;;mleary@optonline.net;
3690;Xiomara Crosby;f;13/02/1977;7238 Green Street;Haveri;Avis;NR;jadavis@icloud.com;
3691;Sam Dodson;m;15/03/1993;483 Lakeview Ave.;Dakshina Kannada;Black Springs;RO;ajlitt@att.net;
3692;Rylee Mathews;f;27/11/1951;539 Colonial Court;Gadag;Maybeury;TK;cderoove@yahoo.ca;
3693;Madisyn Rios;f;31/07/1985;17 Harvard Lane;Bengaluru (Bangalore) Urban;New Eucha;TK;petersko@hotmail.com;
3694;Maddox Waters;m;31/05/1983;8182 Fordham Drive;Dharwad;Avis;AR;webdragon@comcast.net;(461) 236-2902
3695;Leandro Skinner;m;03/04/1947;352 Columbia Street;Udupi;Black Springs;RO;jsmith@mac.com;
3696;Erika Hutchinson;f;30/12/1951;9641 Indian Summer Drive;Haveri;Avis;TK;mdielmann@me.com;(330) 960-8928
3697;Kailyn Oneill;f;11/09/1949;414 Brickell St.;Shivamogga (Shimoga);Avis;TK;mcmillan@att.net;
3698;Armando Obrien;m;27/09/1999;8305 Plumb Branch Avenue;Tumakuru (Tumkur);Lynchburg;RO;bruck@hotmail.com;(251) 918-9971
3699;Dexter Williamson;m;20/04/1978;280 Front Court;Bengaluru (Bangalore) Rural;Black Springs;AY;erynf@optonline.net;
3700;Presley Choi;f;28/02/1948;365 Big Rock Cove Street;Ramanagara;New Eucha;TK;louise@yahoo.com;
3701;Clarissa Martinez;f;15/08/1960;19 South Beacon St.;Shivamogga (Shimoga);Avis;TK;tamas@mac.com;(531) 547-1103
3702;Brynlee Knox;f;18/12/1994;1 Lake Forest St.;Bengaluru (Bangalore) Rural;Avis;TK;kramulous@comcast.net;(744) 352-9629
3703;Rafael Bennett;m;22/12/1953;8907 Arnold Lane;Ramanagara;Lynchburg;RO;smeier@hotmail.com;
3704;Bianca Juarez;f;24/03/1990;209 Nicolls Ave.;Haveri;Avis;TK;vertigo@me.com;
3705;Athena Wood;f;02/11/1971;12 E. Campfire Dr.;Tumakuru (Tumkur);Avis;TK;rcwil@verizon.net;
3706;Brylee Hayden;f;23/06/1977;3 Holly Drive;Bidar;New Eucha;TK;granboul@aol.com;
3707;Adeline Huff;f;03/07/1965;574 White Road;Dakshina Kannada;Avis;NR;dalamb@sbcglobal.net;
3708;Joshua Jones;m;29/08/1979;8 Snake Hill St.;Gadag;Lynchburg;RO;cisugrad@sbcglobal.net;(939) 270-9885
3709;Clinton Ruiz;m;02/04/1948;7971 West Kingston Street;Chikkamagaluru (Chikmagalur);New Eucha;AR;marioph@gmail.com;(586) 308-0894
3710;Lewis Riggs;m;08/11/1962;43 Thompson Ave.;Raichur;Black Springs;RO;luebke@me.com;
3711;Katelyn Golden;f;02/02/1960;226 Race Drive;Dakshina Kannada;Avis;TK;drewf@yahoo.com;(239) 471-8832
3712;Judah Crosby;m;09/08/2000;139 S. Ann Court;Bengaluru (Bangalore) Rural;Lynchburg;RO;mddallara@me.com;(620) 586-2980
3713;Kendall Gates;f;22/03/1955;80 Lakeview Ave.;Chikballapur;Lynchburg;NR;mhouston@aol.com;(315) 362-1652
3714;Antonio Horne;m;04/09/1995;3 North St Margarets Street;Uttara Kannada (Karwar);Lynchburg;RO;frostman@me.com;
3715;Nikolas Mullins;m;08/05/1996;565 Fairview Court;Shivamogga (Shimoga);Black Springs;RO;plover@yahoo.com;(747) 880-6480
3716;Shayna Hardy;f;08/09/1951;8 Shub Farm Street;Bengaluru (Bangalore) Rural;Lynchburg;NR;jcholewa@icloud.com;(904) 420-1939
3717;Titus Galloway;m;10/10/1957;13 Longfellow Street;Uttara Kannada (Karwar);Maybeury;AY;novanet@sbcglobal.net;(947) 387-0296
3718;Maleah Boyer;f;29/05/1992;81 W. Riverside Avenue;Tumakuru (Tumkur);Lynchburg;NR;tbmaddux@mac.com;(434) 679-5696
3719;Emily Butler;f;02/03/1954;83 Franklin St.;Dakshina Kannada;Maybeury;AY;emmanuel@gmail.com;(742) 907-9719
3720;Emerson Cook;f;15/09/1958;712 Manor St.;Chikkamagaluru (Chikmagalur);Maybeury;AY;mddallara@sbcglobal.net;
3721;Mireya Howard;f;10/11/1952;5 Brook Dr.;Dharwad;Maybeury;TK;mgemmons@live.com;
3722;Dylan Sloan;f;22/10/1940;591 N. Military Court;Dharwad;Maybeury;TK;caidaperl@msn.com;(775) 942-6551
3723;Cannon Benjamin;m;06/08/1980;27 Lawrence St.;Kolar;Lynchburg;RO;parksh@optonline.net;(624) 225-7859
